Date,Visitors
11/9/2020,707
11/10/2020,1455
11/11/2020,1520
11/12/2020,1726
11/13/2020,2134
11/14/2020,1316
11/15/2020,1287
11/16/2020,1548
11/17/2020,1448
11/18/2020,
11/19/2020,2321
11/20/2020,1819
11/21/2020,1180
11/22/2020,2138
11/23/2020,2632
11/24/2020,1752
11/25/2020,627
11/26/2020,2105
11/27/2020,1671
11/28/2020,1105
11/29/2020,1698
11/30/2020,1541
12/1/2020,1245
12/2/2020,
12/3/2020,2171
12/4/2020,1975
12/5/2020,1186
12/6/2020,1822
12/7/2020,1584
12/8/2020,1961
12/9/2020,2464
12/10/2020,2394
12/11/2020,1322
12/12/2020,1167
12/13/2020,1163
12/14/2020,1772
12/15/2020,1740
12/16/2020,1317
12/17/2020,2330
12/18/2020,2056
12/19/2020,1191
12/20/2020,1828
12/21/2020,1605
12/22/2020,1571
12/23/2020,1288
12/24/2020,2556
12/25/2020,2152
12/26/2020,
12/27/2020,2020
12/28/2020,1480
12/29/2020,1226
12/30/2020,1328
12/31/2020,2295
1/1/2021,2032
1/2/2021,1030
1/3/2021,1442
1/4/2021,1476
1/5/2021,1272
1/6/2021,2054
1/7/2021,4139
1/8/2021,2286
1/9/2021,1371
1/10/2021,1484
1/11/2021,1571
1/12/2021,1454
1/13/2021,1243
1/14/2021,2753
1/15/2021,2312
1/16/2021,1414
1/17/2021,1524
1/18/2021,1469
1/19/2021,1302
1/20/2021,1659
1/21/2021,2120
1/22/2021,2482
1/23/2021,1820
1/24/2021,1628
1/25/2021,1430
1/26/2021,488
1/27/2021,1084
1/28/2021,
1/29/2021,1844
1/30/2021,1065
1/31/2021,1582
2/1/2021,1407
2/2/2021,1496
2/3/2021,2176
2/4/2021,2010
2/5/2021,2015
2/6/2021,1488
2/7/2021,1608
2/8/2021,1337
2/9/2021,2266
2/10/2021,1925
2/11/2021,826
2/12/2021,1387
2/13/2021,599
2/14/2021,968
2/15/2021,1482
2/16/2021,1420
2/17/2021,1171
2/18/2021,2395
2/19/2021,2029
2/20/2021,1047
2/21/2021,1464
2/22/2021,1428
2/23/2021,1154
2/24/2021,1841
2/25/2021,2248
2/26/2021,2553
2/27/2021,1797
2/28/2021,1912
3/1/2021,1786
3/2/2021,1096
3/3/2021,1068
3/4/2021,1976
3/5/2021,1806
3/6/2021,1621
3/7/2021,1001
3/8/2021,1477
3/9/2021,1401
3/10/2021,2190
3/11/2021,2439
3/12/2021,2220
3/13/2021,2732
3/14/2021,967
3/15/2021,1544
3/16/2021,1455
3/17/2021,2194
3/18/2021,1923
3/19/2021,685
3/20/2021,543
3/21/2021,1472
3/22/2021,1368
3/23/2021,1454
3/24/2021,2080
3/25/2021,2611
3/26/2021,2434
3/27/2021,1437
3/28/2021,1642
3/29/2021,1320
3/30/2021,1363
3/31/2021,2068
4/1/2021,2311
4/2/2021,2091
4/3/2021,1532
4/4/2021,1406
4/5/2021,1180
4/6/2021,1244
4/7/2021,1812
4/8/2021,2273
4/9/2021,2158
4/10/2021,1625
4/11/2021,1485
4/12/2021,1499
4/13/2021,1511
4/14/2021,1803
4/15/2021,2101
4/16/2021,1915
4/17/2021,1509
4/18/2021,1399
4/19/2021,1648
4/20/2021,1154
4/21/2021,1122
4/22/2021,2302
4/23/2021,1942
4/24/2021,1345
4/25/2021,1166
4/26/2021,1105
4/27/2021,1256
4/28/2021,1236
4/29/2021,2139
4/30/2021,1836
5/1/2021,
5/2/2021,1423
5/3/2021,1382
5/4/2021,2152
5/5/2021,1400
5/6/2021,2244
5/7/2021,2023
5/8/2021,1483
5/9/2021,1303
5/10/2021,NULL
5/11/2021,NULL
5/12/2021,NULL